"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"9034","Larceny","0  Destiny Usa Dr","6/5/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9035","Larceny","300  N Clinton St","6/5/2015",300,"N CLINTON ST","300  N CLINTON ST ",-76.1535054141816,43.0523782143337
"9036","Larceny","1200  Almond St","6/5/2015",1200,"ALMOND ST","1200  ALMOND ST ",-76.1422311433865,43.0395137978507
"9037","Larceny","1700  Erie Blvd W","6/5/2015",1700,"ERIE BLVD W","1700  ERIE BLVD W ",-76.1865188350512,43.0560841363879
"9038","Larceny","200  Marcellus St","6/5/2015",200,"MARCELLUS ST","200  MARCELLUS ST ",-76.1604163967062,43.0473223146379
"9039","Larceny","700  S Salina St","6/5/2015",700,"S SALINA ST","700  S SALINA ST ",-76.1506975498698,43.0406911611055
"9040","Larceny","100  Hughes Pl","6/5/2015",100,"HUGHES PL","100  HUGHES PL ",-76.133453366198,43.0256928447831
"9041","Robbery","200  Shonnard St","6/5/2015",200,"SHONNARD ST","200  SHONNARD ST ",-76.1603099579071,43.0415321205991
"9042","Robbery","100  Granger St","6/5/2015",100,"GRANGER ST","100  GRANGER ST ",-76.1568060015332,43.044911395541
"9043","Robbery","200  W Ostrander Av","6/5/2015",200,"W OSTRANDER AVE","200  W OSTRANDER AV ",-76.1450730195489,43.0141275763982
"9044","Robbery","0  Destiny Usa Dr","6/5/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9045","Burglary","800  E Brighton Av","6/4/2015",800,"E BRIGHTON AVE","800  E BRIGHTON AV ",-76.131422471682,43.0059691207528
"9046","Burglary","300  W Ostrander Av","6/4/2015",300,"W OSTRANDER AVE","300  W OSTRANDER AV ",-76.1479925339079,43.0139644712051
"9047","Larceny","0  Destiny Usa Dr","6/4/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9048","Larceny","400  Erie Blvd W","6/4/2015",400,"ERIE BLVD W","400  ERIE BLVD W ",-76.1592117814584,43.050373127029
"9049","Larceny","0  Destiny Usa Dr","6/4/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9050","Larceny","0  Destiny Usa Dr","6/4/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9051","Larceny","0  Destiny Usa Dr","6/4/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9052","Larceny","300  Fobes Av","6/4/2015",300,"FOBES AVE","300  FOBES AV ",-76.1116402999278,43.0735218377978
"9053","Larceny","2800  S Salina St","6/4/2015",2800,"S SALINA ST","2800  S SALINA ST ",-76.1429958522506,43.0206917322399
"9054","Larceny","1200  Park St","6/4/2015",1200,"PARK ST","1200  PARK ST ",-76.1515233073699,43.065900727615
"9055","Robbery","500  S Salina St","6/4/2015",500,"S SALINA ST","500  S SALINA ST ",-76.1522721403708,43.0443214972217
"9056","Aggravated assault","500  Gifford St","6/3/2015",500,"GIFFORD ST","500  GIFFORD ST ",-76.1640623548163,43.0431745351309
"9057","Burglary","200  Green St","6/3/2015",200,"GREEN ST","200  GREEN ST ",-76.1400265212574,43.0542893988144
"9058","Burglary","100  Lilac St","6/3/2015",100,"LILAC ST","100  LILAC ST ",-76.150410899672,43.0630644669563
"9059","Burglary","100  Steuben St","6/3/2015",100,"STEUBEN ST","100  STEUBEN ST ",-76.1519742466533,43.0653040272821
"9060","Burglary","200  Beecher St","6/3/2015",200,"BEECHER ST","200  BEECHER ST ",-76.1413132077457,43.0603905376466
"9061","Burglary","1100  Lodi St","6/3/2015",1100,"LODI ST","1100  LODI ST ",-76.1439248114853,43.0582347696745
"9062","Burglary","300  Rich St","6/3/2015",300,"RICH ST","300  RICH ST ",-76.1612369952697,43.0333724140664
"9063","Larceny","100  Schneider St","6/3/2015",100,"SCHNEIDER ST","100  SCHNEIDER ST ",-76.1423467666795,43.0614984633711
"9064","Larceny","900  Erie Blvd E","6/3/2015",900,"ERIE BLVD E","900  ERIE BLVD E ",-76.1384990953145,43.0507339669611
"9065","Larceny","0  Destiny Usa Dr","6/3/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9066","Larceny","900  South Av","6/3/2015",900,"SOUTH AVE","900  SOUTH AV ",-76.1579513830078,43.0285532182857
"9067","Larceny","100  N Edwards Av","6/3/2015",100,"N EDWARDS AVE","100  N EDWARDS AV ",-76.106465883635,43.0688480347693
"9068","Larceny","700  E Genesee St","6/3/2015",700,"E GENESEE ST","700  E GENESEE ST ",-76.1421742111772,43.0470872041987
"9069","Larceny","200  Green St","6/3/2015",200,"GREEN ST","200  GREEN ST ",-76.1400265212574,43.0542893988144
"9070","Larceny","600  Hiawatha Blvd W","6/3/2015",600,"HIAWATHA BLVD W","600  HIAWATHA BLVD W ",-76.1744644124321,43.0638223532746
"9071","Larceny","700  Irving Av","6/3/2015",700,"IRVING AVE","700  IRVING AV ",-76.1378363664705,43.0426740187497
"9072","Larceny","600  Robinson St","6/3/2015",600,"ROBINSON ST","600  ROBINSON ST ",-76.1197628960492,43.0584967722302
"9074","Larceny","400  James St","6/3/2015",400,"JAMES ST","400  JAMES ST ",-76.1483616340809,43.0524150512665
"9075","Larceny","100  Marshall St","6/3/2015",100,"MARSHALL ST","100  MARSHALL ST ",-76.1366647391368,43.0416158113748
"9076","Larceny","300  Bruce St","6/3/2015",300,"BRUCE ST","300  BRUCE ST ",-76.1116081477862,43.0482440196146
"9077","Larceny","1100  Court St","6/3/2015",1100,"COURT ST","1100  COURT ST ",-76.1519285301558,43.0756641977693
"9078","Larceny","200  S Lowell Av","6/3/2015",200,"S LOWELL AVE","200  S LOWELL AV ",-76.1811568373075,43.0473290688715
"9079","Larceny","800  Comstock Av","6/3/2015",800,"COMSTOCK AVE","800  COMSTOCK AV ",-76.1297979852508,43.0362626418149
"9080","Larceny","900  Ackerman Av","6/3/2015",900,"ACKERMAN AVE","900  ACKERMAN AV ",-76.1241765113057,43.0342310508428
"9081","Larceny","800  Ackerman Av","6/3/2015",800,"ACKERMAN AVE","800  ACKERMAN AV ",-76.1243851504626,43.0365387974449
"9082","Robbery","100  James St","6/3/2015",100,"JAMES ST","100  JAMES ST ",-76.1521800445174,43.051271575662
"9083","Vehicle theft","3200  S Salina St","6/3/2015",3200,"S SALINA ST","3200  S SALINA ST ",-76.1413984728504,43.0172195331591
"9085","Burglary","600  Charmouth Dr","6/2/2015",600,"CHARMOUTH DR","600  CHARMOUTH DR ",-76.1706358051872,43.0211194072949
"9086","Larceny","200  Summit Av","6/2/2015",200,"SUMMIT AVE","200  SUMMIT AV ",-76.1661661524179,43.0317204806722
"9087","Larceny","2900  James St","6/2/2015",2900,"JAMES ST","2900  JAMES ST ",-76.1063758780565,43.068852719843
"9088","Larceny","1200  W Genesee St","6/2/2015",1200,"W GENESEE ST","1200  W GENESEE ST ",-76.1753543172742,43.0534476053649
"9089","Larceny","200  N State St","6/2/2015",200,"N STATE ST","200  N STATE ST ",-76.1483616340809,43.0524150512665
"9090","Larceny","700  Irving Av","6/2/2015",700,"IRVING AVE","700  IRVING AV ",-76.1378363664705,43.0426740187497
"9091","Larceny","100  Elmwood Av","6/2/2015",100,"ELMWOOD AVE","100  ELMWOOD AV ",-76.1614565245154,43.0187268081398
"9092","Larceny","600  E Brighton Av","6/2/2015",600,"E BRIGHTON AVE","600  E BRIGHTON AV ",-76.1337782164788,43.0110408513458
"9093","Larceny","100  Cliffside Dr","6/2/2015",100,"CLIFFSIDE DR","100  CLIFFSIDE DR ",-76.1373428286287,43.0225742713644
"9094","Larceny","400  S Clinton St","6/2/2015",400,"S CLINTON ST","400  S CLINTON ST ",-76.1535643239366,43.0479560146026
"9095","Larceny","300  Cortland Av","6/2/2015",300,"CORTLAND AVE","300  CORTLAND AV ",-76.1520200273285,43.0338999087717
"9096","Larceny","900  James St","6/2/2015",900,"JAMES ST","900  JAMES ST ",-76.1386272183664,43.0572024200134
"9097","Robbery","0  Destiny Usa Dr","6/2/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9098","Aggravated assault","200  W Brighton Av","6/1/2015",200,"W BRIGHTON AVE","200  W BRIGHTON AV ",-76.1462179707471,43.020348208423
"9099","Burglary","700  E Laurel St","6/1/2015",700,"E LAUREL ST","700  E LAUREL ST ",-76.14538582105,43.0590227642987
"9100","Burglary","500  S Crouse Av","6/1/2015",500,"S CROUSE AVE","500  S CROUSE AV ",-76.1365856496702,43.0453656815498
"9101","Larceny","100  Dablon Ct","6/1/2015",100,"DABLON CT","100  DABLON CT ",-76.1448582278994,43.0414065009121
"9102","Larceny","200  Hall Av","6/1/2015",200,"HALL AVE","200  HALL AV ",-76.1418865370099,43.0124724460418
"9103","Larceny","3400  Burnet Av","6/1/2015",3400,"BURNET AVE","3400  BURNET AV ",-76.0914045823242,43.061131918115
"9105","Larceny","4700  S Salina St","6/1/2015",4700,"S SALINA ST","4700  S SALINA ST ",-76.1428149431084,43.0020694967977
"9106","Larceny","0  Destiny Usa Dr","6/1/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9107","Larceny","0  Destiny Usa Dr","6/1/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9108","Larceny","2500  Erie Blvd E","6/1/2015",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"9109","Larceny","100  Weiser Ct","6/1/2015",100,"WEISER CT","100  WEISER CT ",-76.1448583310959,43.0427453530301
"9110","Larceny","100  Josephine St","6/1/2015",100,"JOSEPHINE ST","100  JOSEPHINE ST ",-76.1458238613387,43.0604360319664
"9111","Larceny","800  Sumner Av","6/1/2015",800,"SUMNER AVE","800  SUMNER AV ",-76.12566362853,43.0364835460614
"9112","Larceny","700  Ash St","6/1/2015",700,"ASH ST","700  ASH ST ",-76.1476681163735,43.061987449118
"9113","Larceny","100  Stolp Av","6/1/2015",100,"STOLP AVE","100  STOLP AV ",-76.1660706170762,43.0303972423477
"9114","Larceny","600  Allen St","6/1/2015",600,"ALLEN ST","600  ALLEN ST ",-76.1166198883987,43.0416343913234
"9115","Larceny","600  Robinson St","6/1/2015",600,"ROBINSON ST","600  ROBINSON ST ",-76.1197628960492,43.0584967722302
"9116","Robbery","0  Destiny Usa Dr","6/1/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9117","Vehicle theft","400  Stolp Av","6/1/2015",400,"STOLP AVE","400  STOLP AV ",-76.1704562231911,43.0302388923027
"9118","Aggravated assault","100  Steuben St","5/31/2015",100,"STEUBEN ST","100  STEUBEN ST ",-76.1519742466533,43.0653040272821
"9119","Aggravated assault","100  Tyler Ct","5/31/2015",100,"TYLER CT","100  TYLER CT ",-76.1431038503933,43.04272741553
"9120","Aggravated assault","1200  S  Geddes St","5/31/2015",1200,"S GEDDES ST","1200  S  GEDDES ST ",-76.1739907509502,43.035954712137
"9121","Larceny","4100  S Salina St","5/31/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"9122","Larceny","100  Ballantyne Rd","5/31/2015",100,"BALLANTYNE RD","100  BALLANTYNE RD ",-76.1421660170882,43.0107095503917
"9123","Larceny","200  Herald Pl","5/31/2015",200,"HERALD PL","200  HERALD PL ",-76.1534824732261,43.0533332409567
"9124","Larceny","0  Destiny Usa Dr","5/31/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9125","Larceny","100  Harold St","5/31/2015",100,"HAROLD ST","100  HAROLD ST ",-76.142557998644,43.0748089451803
"9126","Larceny","0  Destiny Usa Dr","5/31/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9127","Larceny","1100  Spring St","5/31/2015",1100,"SPRING ST","1100  SPRING ST ",-76.154786498496,43.0701480260765
"9128","Larceny","600  W Belden Av","5/31/2015",600,"W BELDEN AVE","600  W BELDEN AV ",-76.1600667241611,43.0545667131253
"9129","Larceny","200  Coleridge Av","5/31/2015",200,"COLERIDGE AVE","200  COLERIDGE AV ",-76.1799472673506,43.0455079541346
"9130","Larceny","0  Destiny Usa Dr","5/31/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9131","Larceny","1200  Milton Av","5/31/2015",1200,"MILTON AVE","1200  MILTON AV ",-76.1967498599363,43.0588393950705
"9132","Larceny","1100  Teall Av","5/31/2015",1100,"TEALL AVE","1100  TEALL AV ",-76.1224298916966,43.0611883296426
"9133","Larceny","300  Bradford Pkwy","5/31/2015",300,"BRADFORD PKWY","300  BRADFORD PKWY ",-76.1041091095908,43.0381278167633
"9134","Larceny","100  Circle Rd","5/31/2015",100,"CIRCLE RD","100  CIRCLE RD ",-76.1277915927625,43.0331281349101
"9135","Larceny","900  Willis Av","5/31/2015",900,"WILLIS AVE","900  WILLIS AV ",-76.1936586828097,43.0545909698788
"9136","Robbery","3900  S Salina St","5/31/2015",3900,"S SALINA ST","3900  S SALINA ST ",-76.1421660170882,43.0107095503917
"9137","Aggravated assault","1000  S Geddes St","5/30/2015",1000,"S GEDDES ST","1000  S GEDDES ST ",-76.1731904874964,43.037999807752
"9138","Aggravated assault","100  Warham St","5/30/2015",100,"WARHAM ST","100  WARHAM ST ",-76.1430612493005,43.0710763189037
"9139","Aggravated assault","1300  Butternut St","5/30/2015",1300,"BUTTERNUT ST","1300  BUTTERNUT ST ",-76.1433296972061,43.068477148035
"9140","Burglary","200  Scoville Av","5/30/2015",200,"SCOVILLE AVE","200  SCOVILLE AV ",-76.1377019401579,43.0693080728677
"9141","Burglary","300  S Warren St","5/30/2015",300,"S WARREN ST","300  S WARREN ST ",-76.1508044008238,43.0486727524948
"9142","Burglary","3200  E Genesee St","5/30/2015",3200,"E GENESEE ST","3200  E GENESEE ST ",-76.0969519909319,43.0428412158003
"9143","Larceny","100  Schneider St","5/30/2015",100,"SCHNEIDER ST","100  SCHNEIDER ST ",-76.1423467666795,43.0614984633711
"9144","Larceny","700  Hickory St","5/30/2015",700,"HICKORY ST","700  HICKORY ST ",-76.1444037492439,43.0566056093948
"9145","Larceny","1900  W Fayette St","5/30/2015",1900,"W FAYETTE ST","1900  W FAYETTE ST ",-76.1849749144289,43.0536183079578
"9146","Larceny","100  Harold St","5/30/2015",100,"HAROLD ST","100  HAROLD ST ",-76.142557998644,43.0748089451803
"9147","Larceny","400  Marcellus St","5/30/2015",400,"MARCELLUS ST","400  MARCELLUS ST ",-76.1635627976089,43.0465546044577
"9148","Larceny","900  Caleb Av","5/30/2015",900,"CALEB AVE","900  CALEB AV ",-76.1043370658595,43.0600856053158
"9149","Larceny","400  Smith St","5/30/2015",400,"SMITH ST","400  SMITH ST ",-76.0907646077541,43.0537520547543
"9150","Larceny","900  Avery Av","5/30/2015",900,"AVERY AVE","900  AVERY AV ",-76.1955492638086,43.0535408053372
"9151","Larceny","0  Destiny Usa Dr","5/30/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9152","Larceny","500  Fayette Blvd","5/30/2015",500,"FAYETTE BLVD","500  FAYETTE BLVD ",-76.0949680468741,43.0493129192871
"9153","Larceny","100  N Beech St","5/30/2015",100,"N BEECH ST","100  N BEECH ST ",-76.1276283313604,43.050420267505
"9154","Larceny","1700  Midland Av","5/30/2015",1700,"MIDLAND AVE","1700  MIDLAND AV ",-76.1501885518376,43.0224163919797
"9155","Larceny","300  Hawley Av","5/30/2015",300,"HAWLEY AVE","300  HAWLEY AV ",-76.1420648335596,43.0533299362022
"9156","Larceny","300  N Clinton St","5/30/2015",300,"N CLINTON ST","300  N CLINTON ST ",-76.1535054141816,43.0523782143337
"9158","Larceny","500  Westcott St","5/30/2015",500,"WESTCOTT ST","500  WESTCOTT ST ",-76.1194024641246,43.0419788289784
"9159","Robbery","200  Onondaga Av","5/30/2015",200,"ONONDAGA AVE","200  ONONDAGA AV ",-76.1647761376186,43.0332171948758
"9160","Vehicle theft","1800  Butternut St","5/30/2015",1800,"BUTTERNUT ST","1800  BUTTERNUT ST ",-76.1426464966966,43.0756519644305
"9161","Vehicle theft","100  Emerson Av","5/30/2015",100,"EMERSON AVE","100  EMERSON AV ",-76.1833721407941,43.0473865576336
"9162","Vehicle theft","100  Lilac St","5/30/2015",100,"LILAC ST","100  LILAC ST ",-76.150410899672,43.0630644669563
"9163","Aggravated assault","800  South Av","5/29/2015",800,"SOUTH AVE","800  SOUTH AV ",-76.1586180412554,43.0304585522443
"9164","Aggravated assault","3400  Burnet Av","5/29/2015",3400,"BURNET AVE","3400  BURNET AV ",-76.0914045823242,43.061131918115
"9165","Burglary","700  Euclid Av","5/29/2015",700,"EUCLID AVE","700  EUCLID AV ",-76.1231585054153,43.0366021296801
"9166","Burglary","100  Park St","5/29/2015",100,"PARK ST","100  PARK ST ",-76.1337147049593,43.0633543027306
"9167","Larceny","1600  Butternut St","5/29/2015",1600,"BUTTERNUT ST","1600  BUTTERNUT ST ",-76.1423972568125,43.0732654540523
"9168","Larceny","100  W Onondaga St","5/29/2015",100,"W ONONDAGA ST","100  W ONONDAGA ST ",-76.1522721403708,43.0443214972217
"9169","Larceny","100  Cheney St","5/29/2015",100,"CHENEY ST","100  CHENEY ST ",-76.1611119426431,43.030059600545
"9170","Larceny","1500  S Salina St","5/29/2015",1500,"S SALINA ST","1500  S SALINA ST ",-76.148279174954,43.0318349473845
"9171","Larceny","1600  Erie Blvd E","5/29/2015",1600,"ERIE BLVD E","1600  ERIE BLVD E ",-76.1234483659877,43.0493415630822
"9172","Larceny","300  Beecher St","5/29/2015",300,"BEECHER ST","300  BEECHER ST ",-76.1393789840591,43.0613643336671
"9173","Larceny","300  Randolph St","5/29/2015",300,"RANDOLPH ST","300  RANDOLPH ST ",-76.1416971571742,43.0042915139438
"9174","Larceny","3300  S Salina St","5/29/2015",3300,"S SALINA ST","3300  S SALINA ST ",-76.141225675799,43.0166453956353
"9176","Larceny","500  S Salina St","5/29/2015",500,"S SALINA ST","500  S SALINA ST ",-76.1522721403708,43.0443214972217
"9177","Larceny","200  Croly St","5/29/2015",200,"CROLY ST","200  CROLY ST ",-76.1126605045835,43.0481934715526
"9178","Murder","100  Salt Springs Rd","5/29/2015",100,"SALT SPRINGS RD","100  SALT SPRINGS RD ",-76.1123499616174,43.044894071474
"9179","Robbery","900  Glenwood Av","5/29/2015",900,"GLENWOOD AVE","900  GLENWOOD AV ",-76.1739195035085,43.0194153986465
"9180","Robbery","1600  S Geddes St","5/29/2015",1600,"S GEDDES ST","1600  S GEDDES ST ",-76.1753620441943,43.0318623166245
"9181","Vehicle theft","200  Lodi St","5/29/2015",200,"LODI ST","200  LODI ST ",-76.1325595269882,43.0521206792789
"9182","Vehicle theft","400  Marcellus St","5/29/2015",400,"MARCELLUS ST","400  MARCELLUS ST ",-76.1635627976089,43.0465546044577
"9183","Aggravated assault","100  Hope Av","5/28/2015",100,"HOPE AVE","100  HOPE AV ",-76.1524868466429,43.0238067256162
"9184","Aggravated assault","300  South Av","5/28/2015",300,"SOUTH AVE","300  SOUTH AV ",-76.1589522222677,43.036196532003
"9185","Aggravated assault","4000  S Salina St","5/28/2015",4000,"S SALINA ST","4000  S SALINA ST ",-76.1423234062057,43.0097647136707
"9186","Burglary","100  Chester St","5/28/2015",100,"CHESTER ST","100  CHESTER ST ",-76.1576316671409,43.033534341116
"9189","Larceny","1900  Erie Blvd E","5/28/2015",1900,"ERIE BLVD E","1900  ERIE BLVD E ",-76.1160765811324,43.0507309080228
"9190","Larceny","0  Destiny Usa Dr","5/28/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9191","Larceny","100  Valley Dr","5/28/2015",100,"VALLEY DR","100  VALLEY DR ",-76.161284781296,43.0185014773701
"9192","Larceny","100  Mcclure Av","5/28/2015",100,"MCCLURE AVE","100  MCCLURE AV ",-76.1433468560455,43.0214155625756
"9193","Larceny","2600  Erie Blvd E","5/28/2015",2600,"ERIE BLVD E","2600  ERIE BLVD E ",-76.1010227797571,43.0538831637548
"9194","Larceny","1900  Grant Blvd","5/28/2015",1900,"GRANT BLVD","1900  GRANT BLVD ",-76.1418588840121,43.0721438741072
"9195","Larceny","4100  S Salina St","5/28/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"9196","Larceny","4100  S Salina St","5/28/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"9197","Larceny","3600  James St","5/28/2015",3600,"JAMES ST","3600  JAMES ST ",-76.0959511163402,43.0693394478624
"9198","Larceny","1300  Oak St","5/28/2015",1300,"OAK ST","1300  OAK ST ",-76.1365032893662,43.0693630167611
"9199","Larceny","100  Dudley St","5/28/2015",100,"DUDLEY ST","100  DUDLEY ST ",-76.1686605925215,43.0370328305859
"9200","Larceny","100  S Salina St","5/28/2015",100,"S SALINA ST","100  S SALINA ST ",-76.1521708073297,43.0508871327153
"9201","Larceny","300  Boston St","5/28/2015",300,"BOSTON ST","300  BOSTON ST ",-76.0904485990104,43.064829904588
"9202","Robbery","300  W Onondaga St","5/28/2015",300,"W ONONDAGA ST","300  W ONONDAGA ST ",-76.1546680399892,43.0425821965474
"9204","Robbery","400  S Alvord St","5/28/2015",400,"S ALVORD ST","400  S ALVORD ST ",-76.1448984978689,43.0616807267208
"9205","Robbery","100  Giminski Dr","5/28/2015",100,"GIMINSKI DR","100  GIMINSKI DR ",-76.1715968803506,43.0587380485687
"9206","Robbery","600  S Salina St","5/28/2015",600,"S SALINA ST","600  S SALINA ST ",-76.1515370003899,43.0427677089425
"9207","Vehicle theft","400  Tompkins St","5/28/2015",400,"TOMPKINS ST","400  TOMPKINS ST ",-76.1833721407941,43.0473865576336
"9208","Aggravated assault","1100  S Mcbride St","5/27/2015",1100,"S MCBRIDE ST","1100  S MCBRIDE ST ",-76.1439706074907,43.0403479273497
"9209","Aggravated assault","1500  E Genesee St","5/27/2015",1500,"E GENESEE ST","1500  E GENESEE ST ",-76.1276972991226,43.0470068116037
"9210","Aggravated assault","600  Park St","5/27/2015",600,"PARK ST","600  PARK ST ",-76.1414841925628,43.0629898118311
"9211","Burglary","900  N State St","5/27/2015",900,"N STATE ST","900  N STATE ST ",-76.1534386698211,43.0587594986286
"9212","Burglary","500  Herkimer St","5/27/2015",500,"HERKIMER ST","500  HERKIMER ST ",-76.1947325666238,43.0523743137387
"9213","Burglary","200  E Jefferson St","5/27/2015",200,"E JEFFERSON ST","200  E JEFFERSON ST ",-76.1508118498526,43.0470449826296
"9214","Burglary","300  Second North St","5/27/2015",300,"SECOND NORTH ST","300  SECOND NORTH ST ",-76.1546387099888,43.0732089847751
"9215","Larceny","100  Remington Av","5/27/2015",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"9216","Larceny","400  E Genesee St","5/27/2015",400,"E GENESEE ST","400  E GENESEE ST ",-76.1474138485404,43.0480908939239
"9217","Larceny","100  Josephine St","5/27/2015",100,"JOSEPHINE ST","100  JOSEPHINE ST ",-76.1458238613387,43.0604360319664
"9218","Larceny","400  E Division St","5/27/2015",400,"E DIVISION ST","400  E DIVISION ST ",-76.1519000080642,43.0610407193443
"9219","Larceny","1200  Harrison St","5/27/2015",1200,"HARRISON ST","1200  HARRISON ST ",-76.1305231843898,43.0441503568334
"9220","Larceny","300  N Collingwood Av","5/27/2015",300,"N COLLINGWOOD AVE","300  N COLLINGWOOD AV ",-76.1077483007364,43.0735720846061
"9221","Larceny","300  N Lowell Av","5/27/2015",300,"N LOWELL AVE","300  N LOWELL AV ",-76.1837205301954,43.0503442862347
"9222","Larceny","800  Stinard Av","5/27/2015",800,"STINARD AVE","800  STINARD AV ",-76.1725373948171,43.0210170001175
"9223","Larceny","500  Herkimer St","5/27/2015",500,"HERKIMER ST","500  HERKIMER ST ",-76.1947325666238,43.0523743137387
"9224","Larceny","2200  Midland Av","5/27/2015",2200,"MIDLAND AVE","2200  MIDLAND AV ",-76.1485827263315,43.0181558074036
"9225","Vehicle theft","500  Plum St","5/27/2015",500,"PLUM ST","500  PLUM ST ",-76.1596677583834,43.0557316630939
"9226","Aggravated assault","100  E Onondaga St","5/26/2015",100,"E ONONDAGA ST","100  E ONONDAGA ST ",-76.1522721403708,43.0443214972217
"9227","Aggravated assault","300  Lexington Av","5/26/2015",300,"LEXINGTON AVE","300  LEXINGTON AV ",-76.1198497442508,43.0471403914583
"9228","Aggravated assault","400  N Franklin St","5/26/2015",400,"N FRANKLIN ST","400  N FRANKLIN ST ",-76.1548348337841,43.0540562428595
"9229","Aggravated assault","200  Park St","5/26/2015",200,"PARK ST","200  PARK ST ",-76.1349786431567,43.0632952269625
"9230","Aggravated assault","900  S Mcbride St","5/26/2015",900,"S MCBRIDE ST","900  S MCBRIDE ST ",-76.1439715384078,43.0427426403852
"9231","Aggravated assault","100  Wood Av","5/26/2015",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"9232","Aggravated assault","1100  Lodi St","5/26/2015",1100,"LODI ST","1100  LODI ST ",-76.1439248114853,43.0582347696745
"9233","Burglary","500  Herkimer St","5/26/2015",500,"HERKIMER ST","500  HERKIMER ST ",-76.1947325666238,43.0523743137387
"9234","Burglary","400  Oak St","5/26/2015",400,"OAK ST","400  OAK ST ",-76.1334639675454,43.057778758987
"9235","Burglary","200  Rugby Rd","5/26/2015",200,"RUGBY RD","200  RUGBY RD ",-76.1228837797339,43.0679378945925
"9236","Burglary","700  Sumner Av","5/26/2015",700,"SUMNER AVE","700  SUMNER AV ",-76.1257953551,43.0381056977572
"9237","Larceny","300  N Geddes St","5/26/2015",300,"N GEDDES ST","300  N GEDDES ST ",-76.1706745156521,43.0510237922465
"9238","Larceny","100  Victoria Pl","5/26/2015",100,"VICTORIA PL","100  VICTORIA PL ",-76.1192800864183,43.0406364103005
"9239","Larceny","3500  James St","5/26/2015",3500,"JAMES ST","3500  JAMES ST ",-76.0989190099407,43.0691997808824
"9240","Larceny","300  Gifford St","5/26/2015",300,"GIFFORD ST","300  GIFFORD ST ",-76.1581804272592,43.0434499762915
"9241","Larceny","500  Tully St","5/26/2015",500,"TULLY ST","500  TULLY ST ",-76.1627110779823,43.0446517066522
"9242","Larceny","0  Destiny Usa Dr","5/26/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"9243","Larceny","600  Vine St","5/26/2015",600,"VINE ST","600  VINE ST ",-76.1257351307153,43.0589950206526
"9244","Larceny","300  Willis Av","5/26/2015",300,"WILLIS AVE","300  WILLIS AV ",-76.1892678510957,43.048237004527
"9245","Larceny","600  W Genesee St","5/26/2015",600,"W GENESEE ST","600  W GENESEE ST ",-76.1600498775123,43.0533968892756
"9246","Larceny","1800  W Colvin St","5/26/2015",1800,"W COLVIN ST","1800  W COLVIN ST ",-76.166885216109,43.022718727619
"9247","Larceny","300  N Clinton St","5/26/2015",300,"N CLINTON ST","300  N CLINTON ST ",-76.1535054141816,43.0523782143337
"9248","Larceny","600  N Clinton St","5/26/2015",600,"N CLINTON ST","600  N CLINTON ST ",-76.1549372224148,43.0567669212045
"9249","Larceny","100  James St","5/26/2015",100,"JAMES ST","100  JAMES ST ",-76.1521800445174,43.051271575662
"9250","Robbery","200  S Warren St","5/26/2015",200,"S WARREN ST","200  S WARREN ST ",-76.1507727336364,43.0495761609668
