"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2253","Larceny","100  Gage Ct","7/30/2016",100,"GAGE CT","100  GAGE CT ",-76.1414345152807,43.0395361745618
"2255","Larceny","1100  W  Fayette St","7/30/2016",1100,"W FAYETTE ST","1100  W  FAYETTE ST ",-76.1709496097482,43.0458684175057
"2256","Larceny","1200  Bellevue Av","7/30/2016",1200,"BELLEVUE AVE","1200  BELLEVUE AV ",-76.1752181236845,43.0328396528672
"2257","Larceny","1800  Grant Blvd","7/30/2016",1800,"GRANT BLVD","1800  GRANT BLVD ",-76.1400943248382,43.072234042052
"2258","Larceny","200  W  Water St","7/30/2016",200,"W WATER ST","200  W  WATER ST ",-76.1535425232873,43.0505451121208
"2259","Larceny","300  Greenwood Pl","7/30/2016",300,"GREENWOOD PL","300  GREENWOOD PL ",-76.1221261867362,43.0407820341996
"2260","Larceny","400  Butternut St","7/30/2016",400,"BUTTERNUT ST","400  BUTTERNUT ST ",-76.1499713888643,43.0585933376979
"2261","Larceny","400  Durston Av","7/30/2016",400,"DURSTON AVE","400  DURSTON AV ",-76.1272426562708,43.0683837528542
"2262","Larceny","400  Durston Av","7/30/2016",400,"DURSTON AVE","400  DURSTON AV ",-76.1272426562708,43.0683837528542
"2263","Larceny","700  Ackerman Av","7/30/2016",700,"ACKERMAN AVE","700  ACKERMAN AV ",-76.1245415383764,43.0382600589614
"2264","Larceny","700  N  Townsend St","7/30/2016",700,"N TOWNSEND ST","700  N  TOWNSEND ST ",-76.1490055697422,43.0573753012785
"2265","Larceny","800  Park St","7/30/2016",800,"PARK ST","800  PARK ST ",-76.1448676281207,43.0631901751405
"2266","Larceny","900  S  Townsend St","7/30/2016",900,"S TOWNSEND ST","900  S  TOWNSEND ST ",-76.1457305401621,43.0427600058908
"2267","Robbery","400  Kirk Av","7/30/2016",400,"KIRK AVE","400  KIRK AV ",-76.1536467073783,43.0279955864766
"2268","Burglary","1200  Madison St","7/29/2016",1200,"MADISON ST","1200  MADISON ST ",-76.1290068708881,43.0453015794004
